search_id,run_order,priority,research_theme,catalog_name,catalog_slug,source_type,query_mode,http_method,endpoint_template,search_term,search_expression,request_parameters_json,geography_scope,time_scope,expected_record_type,what_are_we_expecting,downstream_use,auth_requirement,auth_env_var,pagination_strategy,rate_limit_note,dedupe_key_hint,join_keys_expected,requires_schema_discovery,source_docs_url,notes
DGOV-0001,1,P0,disease_core,Data.gov Catalog API,data_gov,federal_metadata_catalog,catalog_search,GET,https://api.gsa.gov/technology/datagov/v4/search,Lyme disease,Lyme disease,"{""q"":""Lyme disease"",""sort"":""relevance"",""per_page"":100}",United States,All available; preserve source vintage,dataset_metadata,"Core disease, pathogen, vector, and syndrome records that define the Lyme problem space.",Build the disease/pathogen terminology graph and identify authoritative baseline datasets.,required,DATA_GOV_API_KEY,Use the returned after cursor with otherwise identical parameters.,Personal key: respect response rate-limit headers; DEMO_KEY is unsuitable for automated exploration.,results[].identifier; fallback landingPage or distribution URL,"publisher, identifier, spatial coverage, temporal coverage, distribution URL",false,https://resources.data.gov/catalog-api/,Metadata discovery only; follow distribution or landing-page URLs to obtain actual data.
DGOV-0002,2,P0,disease_core,Data.gov Catalog API,data_gov,federal_metadata_catalog,catalog_search,GET,https://api.gsa.gov/technology/datagov/v4/search,Lyme borreliosis,Lyme borreliosis,"{""q"":""Lyme borreliosis"",""sort"":""relevance"",""per_page"":100}",United States,All available; preserve source vintage,dataset_metadata,"Core disease, pathogen, vector, and syndrome records that define the Lyme problem space.",Build the disease/pathogen terminology graph and identify authoritative baseline datasets.,required,DATA_GOV_API_KEY,Use the returned after cursor with otherwise identical parameters.,Personal key: respect response rate-limit headers; DEMO_KEY is unsuitable for automated exploration.,results[].identifier; fallback landingPage or distribution URL,"publisher, identifier, spatial coverage, temporal coverage, distribution URL",false,https://resources.data.gov/catalog-api/,Metadata discovery only; follow distribution or landing-page URLs to obtain actual data.
DGOV-0003,3,P0,disease_core,Data.gov Catalog API,data_gov,federal_metadata_catalog,catalog_search,GET,https://api.gsa.gov/technology/datagov/v4/search,Borrelia burgdorferi,Borrelia burgdorferi,"{""q"":""Borrelia burgdorferi"",""sort"":""relevance"",""per_page"":100}",United States,All available; preserve source vintage,dataset_metadata,"Core disease, pathogen, vector, and syndrome records that define the Lyme problem space.",Build the disease/pathogen terminology graph and identify authoritative baseline datasets.,required,DATA_GOV_API_KEY,Use the returned after cursor with otherwise identical parameters.,Personal key: respect response rate-limit headers; DEMO_KEY is unsuitable for automated exploration.,results[].identifier; fallback landingPage or distribution URL,"publisher, identifier, spatial coverage, temporal coverage, distribution URL",false,https://resources.data.gov/catalog-api/,Metadata discovery only; follow distribution or landing-page URLs to obtain actual data.
DGOV-0004,4,P0,disease_core,Data.gov Catalog API,data_gov,federal_metadata_catalog,catalog_search,GET,https://api.gsa.gov/technology/datagov/v4/search,Borrelia mayonii,Borrelia mayonii,"{""q"":""Borrelia mayonii"",""sort"":""relevance"",""per_page"":100}",United States,All available; preserve source vintage,dataset_metadata,"Core disease, pathogen, vector, and syndrome records that define the Lyme problem space.",Build the disease/pathogen terminology graph and identify authoritative baseline datasets.,required,DATA_GOV_API_KEY,Use the returned after cursor with otherwise identical parameters.,Personal key: respect response rate-limit headers; DEMO_KEY is unsuitable for automated exploration.,results[].identifier; fallback landingPage or distribution URL,"publisher, identifier, spatial coverage, temporal coverage, distribution URL",false,https://resources.data.gov/catalog-api/,Metadata discovery only; follow distribution or landing-page URLs to obtain actual data.
DGOV-0005,5,P0,disease_core,Data.gov Catalog API,data_gov,federal_metadata_catalog,catalog_search,GET,https://api.gsa.gov/technology/datagov/v4/search,Borrelia miyamotoi,Borrelia miyamotoi,"{""q"":""Borrelia miyamotoi"",""sort"":""relevance"",""per_page"":100}",United States,All available; preserve source vintage,dataset_metadata,"Core disease, pathogen, vector, and syndrome records that define the Lyme problem space.",Build the disease/pathogen terminology graph and identify authoritative baseline datasets.,required,DATA_GOV_API_KEY,Use the returned after cursor with otherwise identical parameters.,Personal key: respect response rate-limit headers; DEMO_KEY is unsuitable for automated exploration.,results[].identifier; fallback landingPage or distribution URL,"publisher, identifier, spatial coverage, temporal coverage, distribution URL",false,https://resources.data.gov/catalog-api/,Metadata discovery only; follow distribution or landing-page URLs to obtain actual data.
DGOV-0006,6,P0,disease_core,Data.gov Catalog API,data_gov,federal_metadata_catalog,catalog_search,GET,https://api.gsa.gov/technology/datagov/v4/search,tickborne disease,tickborne disease,"{""q"":""tickborne disease"",""sort"":""relevance"",""per_page"":100}",United States,All available; preserve source vintage,dataset_metadata,"Core disease, pathogen, vector, and syndrome records that define the Lyme problem space.",Build the disease/pathogen terminology graph and identify authoritative baseline datasets.,required,DATA_GOV_API_KEY,Use the returned after cursor with otherwise identical parameters.,Personal key: respect response rate-limit headers; DEMO_KEY is unsuitable for automated exploration.,results[].identifier; fallback landingPage or distribution URL,"publisher, identifier, spatial coverage, temporal coverage, distribution URL",false,https://resources.data.gov/catalog-api/,Metadata discovery only; follow distribution or landing-page URLs to obtain actual data.
DGOV-0007,7,P0,disease_core,Data.gov Catalog API,data_gov,federal_metadata_catalog,catalog_search,GET,https://api.gsa.gov/technology/datagov/v4/search,blacklegged tick,blacklegged tick,"{""q"":""blacklegged tick"",""sort"":""relevance"",""per_page"":100}",United States,All available; preserve source vintage,dataset_metadata,"Core disease, pathogen, vector, and syndrome records that define the Lyme problem space.",Build the disease/pathogen terminology graph and identify authoritative baseline datasets.,required,DATA_GOV_API_KEY,Use the returned after cursor with otherwise identical parameters.,Personal key: respect response rate-limit headers; DEMO_KEY is unsuitable for automated exploration.,results[].identifier; fallback landingPage or distribution URL,"publisher, identifier, spatial coverage, temporal coverage, distribution URL",false,https://resources.data.gov/catalog-api/,Metadata discovery only; follow distribution or landing-page URLs to obtain actual data.
DGOV-0008,8,P0,disease_core,Data.gov Catalog API,data_gov,federal_metadata_catalog,catalog_search,GET,https://api.gsa.gov/technology/datagov/v4/search,Ixodes scapularis,Ixodes scapularis,"{""q"":""Ixodes scapularis"",""sort"":""relevance"",""per_page"":100}",United States,All available; preserve source vintage,dataset_metadata,"Core disease, pathogen, vector, and syndrome records that define the Lyme problem space.",Build the disease/pathogen terminology graph and identify authoritative baseline datasets.,required,DATA_GOV_API_KEY,Use the returned after cursor with otherwise identical parameters.,Personal key: respect response rate-limit headers; DEMO_KEY is unsuitable for automated exploration.,results[].identifier; fallback landingPage or distribution URL,"publisher, identifier, spatial coverage, temporal coverage, distribution URL",false,https://resources.data.gov/catalog-api/,Metadata discovery only; follow distribution or landing-page URLs to obtain actual data.
DGOV-0009,9,P0,disease_core,Data.gov Catalog API,data_gov,federal_metadata_catalog,catalog_search,GET,https://api.gsa.gov/technology/datagov/v4/search,Ixodes pacificus,Ixodes pacificus,"{""q"":""Ixodes pacificus"",""sort"":""relevance"",""per_page"":100}",United States,All available; preserve source vintage,dataset_metadata,"Core disease, pathogen, vector, and syndrome records that define the Lyme problem space.",Build the disease/pathogen terminology graph and identify authoritative baseline datasets.,required,DATA_GOV_API_KEY,Use the returned after cursor with otherwise identical parameters.,Personal key: respect response rate-limit headers; DEMO_KEY is unsuitable for automated exploration.,results[].identifier; fallback landingPage or distribution URL,"publisher, identifier, spatial coverage, temporal coverage, distribution URL",false,https://resources.data.gov/catalog-api/,Metadata discovery only; follow distribution or landing-page URLs to obtain actual data.
DGOV-0010,10,P0,disease_core,Data.gov Catalog API,data_gov,federal_metadata_catalog,catalog_search,GET,https://api.gsa.gov/technology/datagov/v4/search,erythema migrans,erythema migrans,"{""q"":""erythema migrans"",""sort"":""relevance"",""per_page"":100}",United States,All available; preserve source vintage,dataset_metadata,"Core disease, pathogen, vector, and syndrome records that define the Lyme problem space.",Build the disease/pathogen terminology graph and identify authoritative baseline datasets.,required,DATA_GOV_API_KEY,Use the returned after cursor with otherwise identical parameters.,Personal key: respect response rate-limit headers; DEMO_KEY is unsuitable for automated exploration.,results[].identifier; fallback landingPage or distribution URL,"publisher, identifier, spatial coverage, temporal coverage, distribution URL",false,https://resources.data.gov/catalog-api/,Metadata discovery only; follow distribution or landing-page URLs to obtain actual data.
